book,chapter,verse,modern_text
Genesis,1,1,"In the beginning, God created the heavens and the earth."
Genesis,1,2,The earth was formless and empty. Darkness was on the surface of the deep and God’s Spirit was hovering over the surface of the waters.
Genesis,1,3,"God said, “Let there be light,” and there was light."
Genesis,1,4,"God saw the light, and saw that it was good. God divided the light from the darkness."
Genesis,1,5,"God called the light “day”, and the darkness he called “night”. There was evening and there was morning, the first day."
Genesis,1,6,"God said, “Let there be an expanse in the middle of the waters, and let it divide the waters from the waters.”"
Genesis,1,7,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so."
Genesis,1,8,"God called the expanse “sky”. There was evening and there was morning, a second day."
Genesis,1,9,"God said, “Let the waters under the sky be gathered together to one place, and let the dry land appear”; and it was so."
Genesis,1,10,"God called the dry land “earth”, and the gathering together of the waters he called “seas”. God saw that it was good."
Genesis,1,11,"God said, “Let the earth yield grass, herbs yielding seeds, and fruit trees bearing fruit after their kind, with their seeds in it, on the earth”; and it was so."
Genesis,1,12,"The earth yielded grass, herbs yielding seed after their kind, and trees bearing fruit, with their seeds in it, after their kind; and God saw that it was good."
Genesis,1,13,"There was evening and there was morning, a third day."
Genesis,1,14,"God said, “Let there be lights in the expanse of the sky to divide the day from the night; and let them be for signs to mark seasons, days, and years;"
Genesis,1,15,and let them be for lights in the expanse of the sky to give light on the earth”; and it was so.
Genesis,1,16,"God made the two great lights: the greater light to rule the day, and the lesser light to rule the night. He also made the stars."
Genesis,1,17,"God set them in the expanse of the sky to give light to the earth,"
Genesis,1,18,"and to rule over the day and over the night, and to divide the light from the darkness. God saw that it was good."
Genesis,1,19,"There was evening and there was morning, a fourth day."
Genesis,1,20,"God said, “Let the waters abound with living creatures, and let birds fly above the earth in the open expanse of the sky.”"
Genesis,1,21,"God created the large sea creatures and every living creature that moves, with which the waters swarmed, after their kind, and every winged bird after its kind. God saw that it was good."
Genesis,1,22,"God blessed them, saying, “Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth.”"
Genesis,1,23,"There was evening and there was morning, a fifth day."
Genesis,1,24,"God said, “Let the earth produce living creatures after their kind, livestock, creeping things, and animals of the earth after their kind”; and it was so."
