modern_text,kjv_text
"In the beginning, God created the heavens and the earth.","In the beginning God created the heaven and the earth. 
"
The earth was formless and empty. Darkness was on the surface of the deep and God’s Spirit was hovering over the surface of the waters.,"And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters. 
"
"God said, “Let there be light,” and there was light.","And God said, Let there be light: and there was light. 
"
"God saw the light, and saw that it was good. God divided the light from the darkness.","And God saw the light, that it was good: and God divided the light from the darkness. 
"
"God called the light “day”, and the darkness he called “night”. There was evening and there was morning, the first day.","And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day. 
"
"God said, “Let there be an expanse in the middle of the waters, and let it divide the waters from the waters.”","And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters. 
"
"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.","And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so. 
"
"God called the expanse “sky”. There was evening and there was morning, a second day.","And God called the firmament Heaven. And the evening and the morning were the second day. 
"
"God said, “Let the waters under the sky be gathered together to one place, and let the dry land appear”; and it was so.","And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so. 
"
"God called the dry land “earth”, and the gathering together of the waters he called “seas”. God saw that it was good.","And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good. 
"
"God said, “Let the earth yield grass, herbs yielding seeds, and fruit trees bearing fruit after their kind, with their seeds in it, on the earth”; and it was so.","And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so. 
"
"The earth yielded grass, herbs yielding seed after their kind, and trees bearing fruit, with their seeds in it, after their kind; and God saw that it was good.","And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good. 
"
"There was evening and there was morning, a third day.","And the evening and the morning were the third day. 
"
"God said, “Let there be lights in the expanse of the sky to divide the day from the night; and let them be for signs to mark seasons, days, and years;","And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years: 
"
and let them be for lights in the expanse of the sky to give light on the earth”; and it was so.,"And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so. 
"
"God made the two great lights: the greater light to rule the day, and the lesser light to rule the night. He also made the stars.","And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also. 
"
"God set them in the expanse of the sky to give light to the earth,","And God set them in the firmament of the heaven to give light upon the earth, 
"
"and to rule over the day and over the night, and to divide the light from the darkness. God saw that it was good.","And to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good. 
"
"There was evening and there was morning, a fourth day.","And the evening and the morning were the fourth day. 
"
"God said, “Let the waters abound with living creatures, and let birds fly above the earth in the open expanse of the sky.”","And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven. 
"
"God created the large sea creatures and every living creature that moves, with which the waters swarmed, after their kind, and every winged bird after its kind. God saw that it was good.","And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was good. 
"
"God blessed them, saying, “Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth.”","And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth. 
"
"There was evening and there was morning, a fifth day.","And the evening and the morning were the fifth day. 
"
"God said, “Let the earth produce living creatures after their kind, livestock, creeping things, and animals of the earth after their kind”; and it was so.","And God said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so. 
"
"God made the animals of the earth after their kind, and the livestock after their kind, and everything that creeps on the ground after its kind. God saw that it was good.","And God made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind: and God saw that it was good. 
"
"God said, “Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the birds of the sky, and over the livestock, and over all the earth, and over every creeping thing that creeps on the earth.”","And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth. 
"
God created man in his own image. In God’s image he created him; male and female he created them.,"So God created man in his own image, in the image of God created he him; male and female created he them. 
"
"God blessed them. God said to them, “Be fruitful, multiply, fill the earth, and subdue it. Have dominion over the fish of the sea, over the birds of the sky, and over every living thing that moves on the earth.”","And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth. 
"
"God said, “Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food.","And God said, Behold, I have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat. 
"
"To every animal of the earth, and to every bird of the sky, and to everything that creeps on the earth, in which there is life, I have given every green herb for food;” and it was so.","And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, I have given every green herb for meat: and it was so. 
"
"God saw everything that he had made, and, behold, it was very good. There was evening and there was morning, a sixth day.","And God saw every thing that he had made, and, behold, it was very good. And the evening and the morning were the sixth day. 
"
"The heavens, the earth, and all their vast array were finished.","Thus the heavens and the earth were finished, and all the host of them. 
"
On the seventh day God finished his work which he had done; and he rested on the seventh day from all his work which he had done.,"And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made. 
"
"God blessed the seventh day, and made it holy, because he rested in it from all his work of creation which he had done.","And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made. 
"
"This is the history of the generations of the heavens and of the earth when they were created, in the day that Yahweh God made the earth and the heavens.","These are the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens, 
"
"No plant of the field was yet in the earth, and no herb of the field had yet sprung up; for Yahweh God had not caused it to rain on the earth. There was not a man to till the ground,","And every plant of the field before it was in the earth, and every herb of the field before it grew: for the LORD God had not caused it to rain upon the earth, and there was not a man to till the ground. 
"
"but a mist went up from the earth, and watered the whole surface of the ground.","But there went up a mist from the earth, and watered the whole face of the ground. 
"
"Yahweh God formed man from the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.","And the LORD God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul. 
"
"Yahweh God planted a garden eastward, in Eden, and there he put the man whom he had formed.","And the LORD God planted a garden eastward in Eden; and there he put the man whom he had formed. 
"
"Out of the ground Yahweh God made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and evil.","And out of the ground made the LORD God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil. 
"
"A river went out of Eden to water the garden; and from there it was parted, and became the source of four rivers.","And a river went out of Eden to water the garden; and from thence it was parted, and became into four heads. 
"
"The name of the first is Pishon: it flows through the whole land of Havilah, where there is gold;","The name of the first is Pison: that is it which compasseth the whole land of Havilah, where there is gold; 
"
and the gold of that land is good. Bdellium and onyx stone are also there.,"And the gold of that land is good: there is bdellium and the onyx stone. 
"
The name of the second river is Gihon. It is the same river that flows through the whole land of Cush.,"And the name of the second river is Gihon: the same is it that compasseth the whole land of Ethiopia. 
"
The name of the third river is Hiddekel. This is the one which flows in front of Assyria. The fourth river is the Euphrates.,"And the name of the third river is Hiddekel: that is it which goeth toward the east of Assyria. And the fourth river is Euphrates. 
"
"Yahweh God took the man, and put him into the garden of Eden to cultivate and keep it.","And the LORD God took the man, and put him into the garden of Eden to dress it and to keep it. 
"
"Yahweh God commanded the man, saying, “You may freely eat of every tree of the garden;","And the LORD God commanded the man, saying, Of every tree of the garden thou mayest freely eat: 
"
"but you shall not eat of the tree of the knowledge of good and evil; for in the day that you eat of it, you will surely die.”","But of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die. 
"
"Yahweh God said, “It is not good for the man to be alone. I will make him a helper comparable to him.”","And the LORD God said, It is not good that the man should be alone; I will make him an help meet for him. 
"
"Out of the ground Yahweh God formed every animal of the field, and every bird of the sky, and brought them to the man to see what he would call them. Whatever the man called every living creature became its name.","And out of the ground the LORD God formed every beast of the field, and every fowl of the air; and brought them unto Adam to see what he would call them: and whatsoever Adam called every living creature, that was the name thereof. 
"
"The man gave names to all livestock, and to the birds of the sky, and to every animal of the field; but for man there was not found a helper comparable to him.","And Adam gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for Adam there was not found an help meet for him. 
"
"Yahweh God caused the man to fall into a deep sleep. As the man slept, he took one of his ribs, and closed up the flesh in its place.","And the LORD God caused a deep sleep to fall upon Adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof; 
"
"Yahweh God made a woman from the rib which he had taken from the man, and brought her to the man.","And the rib, which the LORD God had taken from man, made he a woman, and brought her unto the man. 
"
"The man said, “This is now bone of my bones, and flesh of my flesh. She will be called ‘woman,’ because she was taken out of Man.”","And Adam said, This is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man. 
"
"Therefore a man will leave his father and his mother, and will join with his wife, and they will be one flesh.","Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh. 
"
"The man and his wife were both naked, and they were not ashamed.","And they were both naked, the man and his wife, and were not ashamed. 
"
"Now the serpent was more subtle than any animal of the field which Yahweh God had made. He said to the woman, “Has God really said, ‘You shall not eat of any tree of the garden?’”","Now the serpent was more subtil than any beast of the field which the LORD God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat of every tree of the garden? 
"
"The woman said to the serpent, “We may eat fruit from the trees of the garden,","And the woman said unto the serpent, We may eat of the fruit of the trees of the garden: 
"
"but not the fruit of the tree which is in the middle of the garden. God has said, ‘You shall not eat of it. You shall not touch it, lest you die.’”","But of the fruit of the tree which is in the midst of the garden, God hath said, Ye shall not eat of it, neither shall ye touch it, lest ye die. 
"
"The serpent said to the woman, “You won’t really die,","And the serpent said unto the woman, Ye shall not surely die: 
"
"for God knows that in the day you eat it, your eyes will be opened, and you will be like God, knowing good and evil.”","For God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as gods, knowing good and evil. 
"
"When the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took some of its fruit, and ate; and she gave some to her husband with her, and he ate it, too.","And when the woman saw that the tree was good for food, and that it was pleasant to the eyes, and a tree to be desired to make one wise, she took of the fruit thereof, and did eat, and gave also unto her husband with her; and he did eat. 
"
"Their eyes were opened, and they both knew that they were naked. They sewed fig leaves together, and made coverings for themselves.","And the eyes of them both were opened, and they knew that they were naked; and they sewed fig leaves together, and made themselves aprons. 
"
"They heard Yahweh God’s voice walking in the garden in the cool of the day, and the man and his wife hid themselves from the presence of Yahweh God among the trees of the garden.","And they heard the voice of the LORD God walking in the garden in the cool of the day: and Adam and his wife hid themselves from the presence of the LORD God amongst the trees of the garden. 
"
"Yahweh God called to the man, and said to him, “Where are you?”","And the LORD God called unto Adam, and said unto him, Where art thou? 
"
"The man said, “I heard your voice in the garden, and I was afraid, because I was naked; and I hid myself.”","And he said, I heard thy voice in the garden, and I was afraid, because I was naked; and I hid myself. 
"
"God said, “Who told you that you were naked? Have you eaten from the tree that I commanded you not to eat from?”","And he said, Who told thee that thou wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat? 
"
"The man said, “The woman whom you gave to be with me, she gave me fruit from the tree, and I ate it.”","And the man said, The woman whom thou gavest to be with me, she gave me of the tree, and I did eat. 
"
"Yahweh God said to the woman, “What have you done?” The woman said, “The serpent deceived me, and I ate.”","And the LORD God said unto the woman, What is this that thou hast done? And the woman said, The serpent beguiled me, and I did eat. 
"
"Yahweh God said to the serpent, “Because you have done this, you are cursed above all livestock, and above every animal of the field. You shall go on your belly and you shall eat dust all the days of your life.","And the LORD God said unto the serpent, Because thou hast done this, thou art cursed above all cattle, and above every beast of the field; upon thy belly shalt thou go, and dust shalt thou eat all the days of thy life: 
"
"I will put hostility between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.”","And I will put enmity between thee and the woman, and between thy seed and her seed; it shall bruise thy head, and thou shalt bruise his heel. 
"
"To the woman he said, “I will greatly multiply your pain in childbirth. In pain you will bear children. Your desire will be for your husband, and he will rule over you.”","Unto the woman he said, I will greatly multiply thy sorrow and thy conception; in sorrow thou shalt bring forth children; and thy desire shall be to thy husband, and he shall rule over thee. 
"
"To Adam he said, “Because you have listened to your wife’s voice, and ate from the tree, about which I commanded you, saying, ‘You shall not eat of it,’ the ground is cursed for your sake. You will eat from it with much labor all the days of your life.","And unto Adam he said, Because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life; 
"
It will yield thorns and thistles to you; and you will eat the herb of the field.,"Thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field; 
"
"By the sweat of your face will you eat bread until you return to the ground, for out of it you were taken. For you are dust, and to dust you shall return.”","In the sweat of thy face shalt thou eat bread, till thou return unto the ground; for out of it wast thou taken: for dust thou art, and unto dust shalt thou return. 
"
The man called his wife Eve because she would be the mother of all the living.,"And Adam called his wife's name Eve; because she was the mother of all living. 
"
"Yahweh God made coats of animal skins for Adam and for his wife, and clothed them.","Unto Adam also and to his wife did the LORD God make coats of skins, and clothed them. 
"
"Yahweh God said, “Behold, the man has become like one of us, knowing good and evil. Now, lest he reach out his hand, and also take of the tree of life, and eat, and live forever—”","And the LORD God said, Behold, the man is become as one of us, to know good and evil: and now, lest he put forth his hand, and take also of the tree of life, and eat, and live for ever: 
"
"Therefore Yahweh God sent him out from the garden of Eden, to till the ground from which he was taken.","Therefore the LORD God sent him forth from the garden of Eden, to till the ground from whence he was taken. 
"
"So he drove out the man; and he placed cherubim at the east of the garden of Eden, and a flaming sword which turned every way, to guard the way to the tree of life.","So he drove out the man; and he placed at the east of the garden of Eden Cherubims, and a flaming sword which turned every way, to keep the way of the tree of life. 
"
"The man knew Eve his wife. She conceived, and gave birth to Cain, and said, “I have gotten a man with Yahweh’s help.”","And Adam knew Eve his wife; and she conceived, and bare Cain, and said, I have gotten a man from the LORD. 
"
"Again she gave birth, to Cain’s brother Abel. Abel was a keeper of sheep, but Cain was a tiller of the ground.","And she again bare his brother Abel. And Abel was a keeper of sheep, but Cain was a tiller of the ground. 
"
"As time passed, Cain brought an offering to Yahweh from the fruit of the ground.","And in process of time it came to pass, that Cain brought of the fruit of the ground an offering unto the LORD. 
"
"Abel also brought some of the firstborn of his flock and of its fat. Yahweh respected Abel and his offering,","And Abel, he also brought of the firstlings of his flock and of the fat thereof. And the LORD had respect unto Abel and to his offering: 
"
"but he didn’t respect Cain and his offering. Cain was very angry, and the expression on his face fell.","But unto Cain and to his offering he had not respect. And Cain was very wroth, and his countenance fell. 
"
"Yahweh said to Cain, “Why are you angry? Why has the expression of your face fallen?","And the LORD said unto Cain, Why art thou wroth? and why is thy countenance fallen? 
"
"If you do well, won’t it be lifted up? If you don’t do well, sin crouches at the door. Its desire is for you, but you are to rule over it.”","If thou doest well, shalt thou not be accepted? and if thou doest not well, sin lieth at the door. And unto thee shall be his desire, and thou shalt rule over him. 
"
"Cain said to Abel, his brother, “Let’s go into the field.” While they were in the field, Cain rose up against Abel, his brother, and killed him.","And Cain talked with Abel his brother: and it came to pass, when they were in the field, that Cain rose up against Abel his brother, and slew him. 
"
"Yahweh said to Cain, “Where is Abel, your brother?” He said, “I don’t know. Am I my brother’s keeper?”","And the LORD said unto Cain, Where is Abel thy brother? And he said, I know not: Am I my brother's keeper? 
"
"Yahweh said, “What have you done? The voice of your brother’s blood cries to me from the ground.","And he said, What hast thou done? the voice of thy brother's blood crieth unto me from the ground. 
"
"Now you are cursed because of the ground, which has opened its mouth to receive your brother’s blood from your hand.","And now art thou cursed from the earth, which hath opened her mouth to receive thy brother's blood from thy hand; 
"
"From now on, when you till the ground, it won’t yield its strength to you. You will be a fugitive and a wanderer in the earth.”","When thou tillest the ground, it shall not henceforth yield unto thee her strength; a fugitive and a vagabond shalt thou be in the earth. 
"
"Cain said to Yahweh, “My punishment is greater than I can bear.","And Cain said unto the LORD, My punishment is greater than I can bear. 
"
"Behold, you have driven me out today from the surface of the ground. I will be hidden from your face, and I will be a fugitive and a wanderer in the earth. Whoever finds me will kill me.”","Behold, thou hast driven me out this day from the face of the earth; and from thy face shall I be hid; and I shall be a fugitive and a vagabond in the earth; and it shall come to pass, that every one that findeth me shall slay me. 
"
"Yahweh said to him, “Therefore whoever slays Cain, vengeance will be taken on him sevenfold.” Yahweh appointed a sign for Cain, so that anyone finding him would not strike him.","And the LORD said unto him, Therefore whosoever slayeth Cain, vengeance shall be taken on him sevenfold. And the LORD set a mark upon Cain, lest any finding him should kill him. 
"
"Cain left Yahweh’s presence, and lived in the land of Nod, east of Eden.","And Cain went out from the presence of the LORD, and dwelt in the land of Nod, on the east of Eden. 
"
"Cain knew his wife. She conceived, and gave birth to Enoch. He built a city, and called the name of the city, after the name of his son, Enoch.","And Cain knew his wife; and she conceived, and bare Enoch: and he builded a city, and called the name of the city, after the name of his son, Enoch. 
"
To Enoch was born Irad. Irad became the father of Mehujael. Mehujael became the father of Methushael. Methushael became the father of Lamech.,"And unto Enoch was born Irad: and Irad begat Mehujael: and Mehujael begat Methusael: and Methusael begat Lamech. 
"
"Lamech took two wives: the name of the first one was Adah, and the name of the second one was Zillah.","And Lamech took unto him two wives: the name of the one was Adah, and the name of the other Zillah. 
"
"Adah gave birth to Jabal, who was the father of those who dwell in tents and have livestock.","And Adah bare Jabal: he was the father of such as dwell in tents, and of such as have cattle. 
"
"His brother’s name was Jubal, who was the father of all who handle the harp and pipe.","And his brother's name was Jubal: he was the father of all such as handle the harp and organ. 
"
"Zillah also gave birth to Tubal Cain, the forger of every cutting instrument of brass and iron. Tubal Cain’s sister was Naamah.","And Zillah, she also bare Tubalcain, an instructer of every artificer in brass and iron: and the sister of Tubalcain was Naamah. 
"
"Lamech said to his wives, “Adah and Zillah, hear my voice. You wives of Lamech, listen to my speech, for I have slain a man for wounding me, a young man for bruising me.","And Lamech said unto his wives, Adah and Zillah, Hear my voice; ye wives of Lamech, hearken unto my speech: for I have slain a man to my wounding, and a young man to my hurt. 
"
"If Cain will be avenged seven times, truly Lamech seventy-seven times.”","If Cain shall be avenged sevenfold, truly Lamech seventy and sevenfold. 
"
"Adam knew his wife again. She gave birth to a son, and named him Seth, saying, “for God has given me another child instead of Abel, for Cain killed him.”","And Adam knew his wife again; and she bare a son, and called his name Seth: For God, said she, hath appointed me another seed instead of Abel, whom Cain slew. 
"
"A son was also born to Seth, and he named him Enosh. At that time men began to call on Yahweh’s name.","And to Seth, to him also there was born a son; and he called his name Enos: then began men to call upon the name of the LORD. 
"
"This is the book of the generations of Adam. In the day that God created man, he made him in God’s likeness.","This is the book of the generations of Adam. In the day that God created man, in the likeness of God made he him; 
"
"He created them male and female, and blessed them. On the day they were created, he named them “Adam”.","Male and female created he them; and blessed them, and called their name Adam, in the day when they were created. 
"
"Adam lived one hundred thirty years, and became the father of a son in his own likeness, after his image, and named him Seth.","And Adam lived an hundred and thirty years, and begat a son in his own likeness, and after his image; and called his name Seth: 
"
"The days of Adam after he became the father of Seth were eight hundred years, and he became the father of other sons and daughters.","And the days of Adam after he had begotten Seth were eight hundred years: and he begat sons and daughters: 
"
"All the days that Adam lived were nine hundred thirty years, then he died.","And all the days that Adam lived were nine hundred and thirty years: and he died. 
"
"Seth lived one hundred five years, then became the father of Enosh.","And Seth lived an hundred and five years, and begat Enos: 
"
"Seth lived after he became the father of Enosh eight hundred seven years, and became the father of other sons and daughters.","And Seth lived after he begat Enos eight hundred and seven years, and begat sons and daughters: 
"
"All of the days of Seth were nine hundred twelve years, then he died.","And all the days of Seth were nine hundred and twelve years: and he died. 
"
"Enosh lived ninety years, and became the father of Kenan.","And Enos lived ninety years, and begat Cainan: 
"
"Enosh lived after he became the father of Kenan, eight hundred fifteen years, and became the father of other sons and daughters.","And Enos lived after he begat Cainan eight hundred and fifteen years, and begat sons and daughters: 
"
"All of the days of Enosh were nine hundred five years, then he died.","And all the days of Enos were nine hundred and five years: and he died. 
"
"Kenan lived seventy years, then became the father of Mahalalel.","And Cainan lived seventy years and begat Mahalaleel: 
"
"Kenan lived after he became the father of Mahalalel eight hundred forty years, and became the father of other sons and daughters","And Cainan lived after he begat Mahalaleel eight hundred and forty years, and begat sons and daughters: 
"
"and all of the days of Kenan were nine hundred ten years, then he died.","And all the days of Cainan were nine hundred and ten years: and he died. 
"
"Mahalalel lived sixty-five years, then became the father of Jared.","And Mahalaleel lived sixty and five years, and begat Jared: 
"
"Mahalalel lived after he became the father of Jared eight hundred thirty years, and became the father of other sons and daughters.","And Mahalaleel lived after he begat Jared eight hundred and thirty years, and begat sons and daughters: 
"
"All of the days of Mahalalel were eight hundred ninety-five years, then he died.","And all the days of Mahalaleel were eight hundred ninety and five years: and he died. 
"
"Jared lived one hundred sixty-two years, then became the father of Enoch.","And Jared lived an hundred sixty and two years, and he begat Enoch: 
"
"Jared lived after he became the father of Enoch eight hundred years, and became the father of other sons and daughters.","And Jared lived after he begat Enoch eight hundred years, and begat sons and daughters: 
"
"All of the days of Jared were nine hundred sixty-two years, then he died.","And all the days of Jared were nine hundred sixty and two years: and he died. 
"
"Enoch lived sixty-five years, then became the father of Methuselah.","And Enoch lived sixty and five years, and begat Methuselah: 
"
"After Methuselah’s birth, Enoch walked with God for three hundred years, and became the father of more sons and daughters.","And Enoch walked with God after he begat Methuselah three hundred years, and begat sons and daughters: 
"
All the days of Enoch were three hundred sixty-five years.,"And all the days of Enoch were three hundred sixty and five years: 
"
"Enoch walked with God, and he was not found, for God took him.","And Enoch walked with God: and he was not; for God took him. 
"
"Methuselah lived one hundred eighty-seven years, then became the father of Lamech.","And Methuselah lived an hundred eighty and seven years, and begat Lamech. 
"
"Methuselah lived after he became the father of Lamech seven hundred eighty-two years, and became the father of other sons and daughters.","And Methuselah lived after he begat Lamech seven hundred eighty and two years, and begat sons and daughters: 
"
"All the days of Methuselah were nine hundred sixty-nine years, then he died.","And all the days of Methuselah were nine hundred sixty and nine years: and he died. 
"
"Lamech lived one hundred eighty-two years, then became the father of a son.","And Lamech lived an hundred eighty and two years, and begat a son: 
"
"He named him Noah, saying, “This one will comfort us in our work and in the toil of our hands, caused by the ground which Yahweh has cursed.”","And he called his name Noah, saying, This same shall comfort us concerning our work and toil of our hands, because of the ground which the LORD hath cursed. 
"
"Lamech lived after he became the father of Noah five hundred ninety-five years, and became the father of other sons and daughters.","And Lamech lived after he begat Noah five hundred ninety and five years, and begat sons and daughters: 
"
"All the days of Lamech were seven hundred seventy-seven years, then he died.","And all the days of Lamech were seven hundred seventy and seven years: and he died. 
"
"Noah was five hundred years old, then Noah became the father of Shem, Ham, and Japheth.","And Noah was five hundred years old: and Noah begat Shem, Ham, and Japheth. 
"
"When men began to multiply on the surface of the ground, and daughters were born to them,","And it came to pass, when men began to multiply on the face of the earth, and daughters were born unto them, 
"
"God’s sons saw that men’s daughters were beautiful, and they took any that they wanted for themselves as wives.","That the sons of God saw the daughters of men that they were fair; and they took them wives of all which they chose. 
"
"Yahweh said, “My Spirit will not strive with man forever, because he also is flesh; so his days will be one hundred twenty years.”","And the LORD said, My spirit shall not always strive with man, for that he also is flesh: yet his days shall be an hundred and twenty years. 
"
"The Nephilim were in the earth in those days, and also after that, when God’s sons came in to men’s daughters and had children with them. Those were the mighty men who were of old, men of renown.","There were giants in the earth in those days; and also after that, when the sons of God came in unto the daughters of men, and they bare children to them, the same became mighty men which were of old, men of renown. 
"
"Yahweh saw that the wickedness of man was great in the earth, and that every imagination of the thoughts of man’s heart was continually only evil.","And God saw that the wickedness of man was great in the earth, and that every imagination of the thoughts of his heart was only evil continually. 
"
"Yahweh was sorry that he had made man on the earth, and it grieved him in his heart.","And it repented the LORD that he had made man on the earth, and it grieved him at his heart. 
"
"Yahweh said, “I will destroy man whom I have created from the surface of the ground—man, along with animals, creeping things, and birds of the sky—for I am sorry that I have made them.”","And the LORD said, I will destroy man whom I have created from the face of the earth; both man, and beast, and the creeping thing, and the fowls of the air; for it repenteth me that I have made them. 
"
But Noah found favor in Yahweh’s eyes.,"But Noah found grace in the eyes of the LORD. 
"
"This is the history of the generations of Noah: Noah was a righteous man, blameless among the people of his time. Noah walked with God.","These are the generations of Noah: Noah was a just man and perfect in his generations, and Noah walked with God. 
"
"Noah became the father of three sons: Shem, Ham, and Japheth.","And Noah begat three sons, Shem, Ham, and Japheth. 
"
"The earth was corrupt before God, and the earth was filled with violence.","The earth also was corrupt before God, and the earth was filled with violence. 
"
"God saw the earth, and saw that it was corrupt, for all flesh had corrupted their way on the earth.","And God looked upon the earth, and, behold, it was corrupt; for all flesh had corrupted his way upon the earth. 
"
"God said to Noah, “I will bring an end to all flesh, for the earth is filled with violence through them. Behold, I will destroy them and the earth.","And God said unto Noah, The end of all flesh is come before me; for the earth is filled with violence through them; and, behold, I will destroy them with the earth. 
"
"Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch.","Make thee an ark of gopher wood; rooms shalt thou make in the ark, and shalt pitch it within and without with pitch. 
"
"This is how you shall make it. The length of the ship shall be three hundred cubits, its width fifty cubits, and its height thirty cubits.","And this is the fashion which thou shalt make it of: The length of the ark shall be three hundred cubits, the breadth of it fifty cubits, and the height of it thirty cubits. 
"
"You shall make a roof in the ship, and you shall finish it to a cubit upward. You shall set the door of the ship in its side. You shall make it with lower, second, and third levels.","A window shalt thou make to the ark, and in a cubit shalt thou finish it above; and the door of the ark shalt thou set in the side thereof; with lower, second, and third stories shalt thou make it. 
"
